Nama;Studi_Jurusan;Semester;AI_Tools;Trust_Level;Usage_Intensity_Score
Damar Alif Prakoso;Teknologi Informasi;1;Gemini;3;3
Nabila Khairunnisa;Teknologi Informasi;7;Gemini;5;10+
Fikri Alfarizi;Teknologi Informasi;5;ChatGPT;2;6
Syifa Nabila;Teknologi Informasi;1;Copilot;5;7
Nayla Syakira;Teknologi Informasi;1;ChatGPT;4;2
Rafi Aditya;Teknik Informatika;5;ChatGPT;4;9
Nabila Khairunnisa;Teknologi Informasi;1;Gemini;3;3
Damar Alif Prakoso;Teknologi Informasi;3;ChatGPT;3;10+
Safira Azzahra Putri;Teknologi Informasi;1;ChatGPT;5;5
Khansa Humaira Zahira;Teknik Informatika;1;ChatGPT;5;8
Fikri Alfarizi;Teknologi Informasi;1;Gemini;3;7
Farah Amalia;Teknologi Informasi;1;ChatGPT;3;8
Anindya Safira;Teknik Informatika;3;Gemini;3;5
Arfan Maulana;Teknik Informatika;1;ChatGPT;3;7
Zidan Harits;Farmasi;7;ChatGPT;4;10+
Nabila Khairunnisa;Teknologi Informasi;7;Multiple;3;3
Yusuf Al Hakim;Teknik Informatika;1;ChatGPT;4;6
Citra Maharani;Keperawatan;3;ChatGPT;3;8
Rizky Kurniawan Putra;Teknik Informatika;7;Gemini;5;5
Muhammad Reza Ananda;Teknologi Informasi;7;ChatGPT;3;5
Alya Qonita Maharani;Teknologi Informasi;3;ChatGPT;3;3
Farah Amalia;Teknologi Informasi;5;ChatGPT;4;9
Safira Azzahra Putri;Teknologi Informasi;3;ChatGPT;4;9
Fikri Alfarizi;Teknologi Informasi;7;Copilot;3;4
Aisyah Putri Ramadhani;Teknik Informatika;3;Gemini;1;4
Alya Qonita Maharani;Teknologi Informasi;7;ChatGPT;3;3
Muhammad Rizky Pratama;Teknologi Informasi;1;Gemini;5;8
Fikri Alfarizi;Teknologi Informasi;3;Gemini;4;10+
Farah Amalia;Teknologi Informasi;1;ChatGPT;5;6
Citra Maharani;Keperawatan;3;ChatGPT;1;10+
Muhammad Naufal Haidar;Farmasi;5;Copilot;3;8
Farrel Alvaro Nugroho;Keperawatan;3;ChatGPT;4;7
Raka Bimantara;Farmasi;3;Copilot;3;4
Aisyah Putri Ramadhani;Teknik Informatika;1;Multiple;4;6
Muhammad Rizky Pratama;Teknologi Informasi;7;Gemini;3;7
Ayesha Kinanti;Teknologi Informasi;1;Multiple;5;6
Muhammad Reza Ananda;Teknologi Informasi;1;ChatGPT;4;6
Anindya Safira;Teknik Informatika;5;Multiple;4;10+
Ammar Zaky Firmansyah;Farmasi;1;ChatGPT;3;6
Muhammad Naufal Haidar;Farmasi;1;Multiple;1;10+
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;3;7
Syifa Nabila;Teknologi Informasi;5;ChatGPT;4;7
Damar Alif Prakoso;Teknologi Informasi;7;ChatGPT;4;8
Farah Amalia;Teknologi Informasi;3;ChatGPT;5;9
Alya Qonita Maharani;Teknologi Informasi;7;Gemini;4;2
Anindya Safira;Teknik Informatika;1;Copilot;3;3
Iqbal Ramadhan;Farmasi;3;Copilot;3;3
Nour Azzahra Salma Putri;Keperawatan;1;Copilot;3;3
Aulia Rahma;Teknik Informatika;5;ChatGPT;5;1
Hanifa Azzahra;Teknologi Informasi;1;ChatGPT;4;10+
Rafi Aditya;Teknik Informatika;1;ChatGPT;2;7
Nour Azzahra Salma Putri;Keperawatan;7;Gemini;3;6
Muhammad Naufal Haidar;Farmasi;1;ChatGPT;4;5
Althaf Rayyan Putra;Teknologi Informasi;3;ChatGPT;3;8
Ahmad Fauzan Maulana;Farmasi;7;ChatGPT;3;5
Nayla Syakira;Teknologi Informasi;5;Gemini;3;6
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;1;ChatGPT;1;4
Ayesha Kinanti;Teknologi Informasi;3;Gemini;5;3
Zahra Alya Safitri;Teknik Informatika;3;ChatGPT;5;4
Ammar Zaky Firmansyah;Farmasi;7;Multiple;3;3
Aulia Rahma;Teknik Informatika;1;ChatGPT;3;6
Safira Azzahra Putri;Teknologi Informasi;1;Gemini;4;7
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;3;ChatGPT;1;7
Salsabila Nurfadila;Teknik Informatika;3;Copilot;5;6
Fikri Alfarizi;Teknologi Informasi;1;Multiple;2;6
Safira Azzahra Putri;Teknologi Informasi;5;Copilot;5;7
Muhammad Reza Ananda;Teknologi Informasi;1;Multiple;5;7
Citra Maharani;Keperawatan;1;Gemini;3;6
Syifa Nabila;Teknologi Informasi;3;ChatGPT;3;3
Ahmad Fauzan Maulana;Farmasi;3;Gemini;5;7
Muhammad Ilham Ramadhan;Mesin Otomotif;3;ChatGPT;3;6
Syifa Nabila;Teknologi Informasi;1;ChatGPT;4;6
Ahmad Fauzan Maulana;Farmasi;3;Gemini;4;8
Zahra Alya Safitri;Teknik Informatika;1;ChatGPT;4;7
Nour Azzahra Salma Putri;Keperawatan;7;Multiple;5;4
Farah Amalia;Teknologi Informasi;3;Gemini;4;7
Citra Maharani;Keperawatan;1;ChatGPT;3;7
Raka Bimantara;Farmasi;1;ChatGPT;3;7
Khansa Humaira Zahira;Teknik Informatika;3;Multiple;4;5
Muhammad Ilham Ramadhan;Mesin Otomotif;1;ChatGPT;2;10+
Bagas Arya Nugraha;Teknologi Informasi;5;ChatGPT;3;5
Fikri Alfarizi;Teknologi Informasi;1;ChatGPT;1;8
Arfan Maulana;Teknik Informatika;5;ChatGPT;5;5
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;5;5
Ammar Zaky Firmansyah;Farmasi;1;Multiple;4;5
Nour Azzahra Salma Putri;Keperawatan;5;ChatGPT;3;10+
Ahmad Fauzan Maulana;Farmasi;5;Gemini;4;3
Syifa Nabila;Teknologi Informasi;7;Gemini;4;6
Rizky Kurniawan Putra;Teknik Informatika;1;ChatGPT;5;7
Zidan Harits;Farmasi;5;Gemini;5;6
Alya Qonita Maharani;Teknologi Informasi;5;Gemini;3;7
Nayla Syakira;Teknologi Informasi;3;ChatGPT;2;10+
Damar Alif Prakoso;Teknologi Informasi;5;Gemini;5;6
Zidan Harits;Farmasi;3;ChatGPT;3;4
Rafi Aditya;Teknik Informatika;3;Gemini;2;8
Nour Azzahra Salma Putri;Keperawatan;5;ChatGPT;3;4
Ahmad Fauzan Maulana;Farmasi;7;ChatGPT;3;7
Nayla Syakira;Teknologi Informasi;3;Gemini;3;3
Muhammad Rizky Pratama;Teknologi Informasi;7;Copilot;5;8
Rafi Aditya;Teknik Informatika;7;Copilot;4;9
Damar Alif Prakoso;Teknologi Informasi;7;ChatGPT;2;10+
Safira Azzahra Putri;Teknologi Informasi;3;Gemini;4;6
Damar Alif Prakoso;Teknologi Informasi;7;Copilot;5;8
Fikri Alfarizi;Teknologi Informasi;5;Gemini;4;8
Ahmad Fauzan Maulana;Farmasi;3;ChatGPT;3;7
Farrel Alvaro Nugroho;Keperawatan;3;ChatGPT;4;7
Muhammad Naufal Haidar;Farmasi;3;Gemini;4;5
Muhammad Ilham Ramadhan;Mesin Otomotif;3;Gemini;3;10+
Alya Qonita Maharani;Teknologi Informasi;7;Gemini;3;2
Aisyah Putri Ramadhani;Teknik Informatika;3;Multiple;1;8
Rizky Kurniawan Putra;Teknik Informatika;7;ChatGPT;1;3
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;1;Multiple;1;3
Rizky Kurniawan Putra;Teknik Informatika;1;Multiple;2;6
Aulia Rahma;Teknik Informatika;3;ChatGPT;5;4
Anindya Safira;Teknik Informatika;1;ChatGPT;3;2
Khansa Humaira Zahira;Teknik Informatika;7;ChatGPT;4;4
Anindya Safira;Teknik Informatika;5;Gemini;5;7
Damar Alif Prakoso;Teknologi Informasi;7;ChatGPT;4;2
Ilham Nurhadi;Teknologi Informasi;3;Gemini;4;8
Zahra Alya Safitri;Teknik Informatika;7;ChatGPT;4;10+
Ayesha Kinanti;Teknologi Informasi;5;Multiple;3;9
Althaf Rayyan Putra;Teknologi Informasi;1;Multiple;5;9
Alya Qonita Maharani;Teknologi Informasi;1;ChatGPT;4;4
Rizky Kurniawan Putra;Teknik Informatika;1;ChatGPT;4;9
Syifa Nabila;Teknologi Informasi;3;ChatGPT;3;5
Muhammad Reza Ananda;Teknologi Informasi;1;Gemini;4;5
Ahmad Fauzan Maulana;Farmasi;1;ChatGPT;4;9
Farah Amalia;Teknologi Informasi;7;ChatGPT;4;9
Iqbal Ramadhan;Farmasi;3;ChatGPT;5;8
Farah Amalia;Teknologi Informasi;5;Gemini;3;10+
Salsabila Nurfadila;Teknik Informatika;1;ChatGPT;3;2
Ayesha Kinanti;Teknologi Informasi;7;ChatGPT;4;6
Bagas Arya Nugraha;Teknologi Informasi;5;ChatGPT;5;10+
Damar Alif Prakoso;Teknologi Informasi;1;ChatGPT;4;4
Khansa Humaira Zahira;Teknik Informatika;3;Copilot;5;8
Aisyah Putri Ramadhani;Teknik Informatika;1;ChatGPT;3;9
Muhammad Ilham Ramadhan;Mesin Otomotif;5;ChatGPT;2;9
Nabila Khairunnisa;Teknologi Informasi;3;Gemini;4;3
Fikri Alfarizi;Teknologi Informasi;5;ChatGPT;5;8
Ammar Zaky Firmansyah;Farmasi;3;ChatGPT;4;5
Yusuf Al Hakim;Teknik Informatika;1;Copilot;3;8
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;3;ChatGPT;3;9
Rafi Aditya;Teknik Informatika;1;Copilot;4;9
Muhammad Naufal Haidar;Farmasi;5;ChatGPT;3;7
Muhammad Reza Ananda;Teknologi Informasi;1;ChatGPT;3;3
Muhammad Reza Ananda;Teknologi Informasi;3;Gemini;4;8
Syifa Nabila;Teknologi Informasi;5;ChatGPT;3;8
Arfan Maulana;Teknik Informatika;5;ChatGPT;4;7
Nayla Syakira;Teknologi Informasi;1;ChatGPT;3;5
Ayesha Kinanti;Teknologi Informasi;3;Multiple;5;3
Muhammad Naufal Haidar;Farmasi;1;ChatGPT;4;10+
Iqbal Ramadhan;Farmasi;7;Multiple;2;7
Bagas Arya Nugraha;Teknologi Informasi;7;ChatGPT;1;10+
Nour Azzahra Salma Putri;Keperawatan;7;ChatGPT;4;9
Zidan Harits;Farmasi;3;Copilot;3;3
Alya Qonita Maharani;Teknologi Informasi;3;Gemini;3;3
Nayla Syakira;Teknologi Informasi;3;ChatGPT;4;5
Muhammad Rizky Pratama;Teknologi Informasi;7;ChatGPT;4;9
Muhammad Rizky Pratama;Teknologi Informasi;1;Copilot;5;7
Farrel Alvaro Nugroho;Keperawatan;1;Copilot;3;3
Syifa Nabila;Teknologi Informasi;1;Multiple;4;3
Farrel Alvaro Nugroho;Keperawatan;1;Multiple;4;6
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;5;10+
Damar Alif Prakoso;Teknologi Informasi;3;ChatGPT;5;8
Bagas Arya Nugraha;Teknologi Informasi;3;ChatGPT;4;10+
Fikri Alfarizi;Teknologi Informasi;1;ChatGPT;4;5
Iqbal Ramadhan;Farmasi;5;Gemini;4;4
Nabila Khairunnisa;Teknologi Informasi;7;ChatGPT;1;9
Althaf Rayyan Putra;Teknologi Informasi;3;ChatGPT;3;9
Aisyah Putri Ramadhani;Teknik Informatika;3;ChatGPT;4;9
Syifa Nabila;Teknologi Informasi;1;ChatGPT;3;2
Aisyah Putri Ramadhani;Teknik Informatika;5;Copilot;1;1
Syifa Nabila;Teknologi Informasi;1;Copilot;3;9
Khansa Humaira Zahira;Teknik Informatika;3;ChatGPT;5;6
Nayla Syakira;Teknologi Informasi;7;ChatGPT;3;5
Citra Maharani;Keperawatan;3;ChatGPT;5;10+
Syifa Nabila;Teknologi Informasi;1;ChatGPT;5;8
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;3;3
Nayla Syakira;Teknologi Informasi;3;Gemini;1;4
Iqbal Ramadhan;Farmasi;1;ChatGPT;5;6
Arfan Maulana;Teknik Informatika;5;ChatGPT;3;10+
Rizky Kurniawan Putra;Teknik Informatika;1;Gemini;3;3
Zidan Harits;Farmasi;1;Multiple;3;10+
Muhammad Rizky Pratama;Teknologi Informasi;1;ChatGPT;1;7
Citra Maharani;Keperawatan;5;Gemini;5;6
Nabila Khairunnisa;Teknologi Informasi;5;ChatGPT;5;8
Bagas Arya Nugraha;Teknologi Informasi;3;ChatGPT;2;10+
Nabila Khairunnisa;Teknologi Informasi;5;ChatGPT;1;5
Muhammad Ilham Ramadhan;Mesin Otomotif;3;ChatGPT;3;9
Damar Alif Prakoso;Teknologi Informasi;7;Gemini;5;7
Fikri Alfarizi;Teknologi Informasi;1;ChatGPT;5;10+
Aulia Rahma;Teknik Informatika;1;Multiple;5;7
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;1;Copilot;1;4
Aulia Rahma;Teknik Informatika;3;ChatGPT;3;6
Ilham Nurhadi;Teknologi Informasi;7;Copilot;5;10+
Rizky Kurniawan Putra;Teknik Informatika;1;ChatGPT;4;6
Alya Qonita Maharani;Teknologi Informasi;3;ChatGPT;3;8
Yusuf Al Hakim;Teknik Informatika;5;ChatGPT;4;10+
Bagas Arya Nugraha;Teknologi Informasi;3;Copilot;4;4
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;3;Copilot;2;6
Ahmad Fauzan Maulana;Farmasi;1;Gemini;5;10+
Damar Alif Prakoso;Teknologi Informasi;7;Copilot;4;6
Ammar Zaky Firmansyah;Farmasi;1;ChatGPT;3;3
Khansa Humaira Zahira;Teknik Informatika;3;Gemini;4;4
Muhammad Naufal Haidar;Farmasi;1;Copilot;4;8
Citra Maharani;Keperawatan;1;Multiple;3;7
Citra Maharani;Keperawatan;3;Copilot;4;8
Farrel Alvaro Nugroho;Keperawatan;7;ChatGPT;3;3
Fikri Alfarizi;Teknologi Informasi;3;ChatGPT;5;8
Aisyah Putri Ramadhani;Teknik Informatika;5;Copilot;3;7
Syifa Nabila;Teknologi Informasi;1;ChatGPT;2;9
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;1;ChatGPT;3;6
Arfan Maulana;Teknik Informatika;5;ChatGPT;4;3
Rizky Kurniawan Putra;Teknik Informatika;3;Gemini;4;10+
Citra Maharani;Keperawatan;3;Gemini;5;10+
Ammar Zaky Firmansyah;Farmasi;3;ChatGPT;4;7
Ahmad Fauzan Maulana;Farmasi;7;Copilot;5;7
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;5;8
Nabila Khairunnisa;Teknologi Informasi;3;ChatGPT;2;3
Syifa Nabila;Teknologi Informasi;7;ChatGPT;2;10+
Nayla Syakira;Teknologi Informasi;3;Gemini;4;7
Muhammad Reza Ananda;Teknologi Informasi;7;Copilot;4;7
Iqbal Ramadhan;Farmasi;5;Multiple;5;6
Ilham Nurhadi;Teknologi Informasi;5;Multiple;3;2
Zahra Alya Safitri;Teknik Informatika;3;ChatGPT;4;8
Farah Amalia;Teknologi Informasi;7;Copilot;5;7
Rizky Kurniawan Putra;Teknik Informatika;3;ChatGPT;3;4
Iqbal Ramadhan;Farmasi;1;Copilot;5;3
Aisyah Putri Ramadhani;Teknik Informatika;7;ChatGPT;5;9
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;7;ChatGPT;1;5
Zidan Harits;Farmasi;1;ChatGPT;3;10+
Aulia Rahma;Teknik Informatika;3;ChatGPT;3;8
Farah Amalia;Teknologi Informasi;5;ChatGPT;2;7
Rizky Kurniawan Putra;Teknik Informatika;1;ChatGPT;3;4
Muhammad Ilham Ramadhan;Mesin Otomotif;3;Gemini;3;4
Anindya Safira;Teknik Informatika;3;ChatGPT;5;5
Rizky Kurniawan Putra;Teknik Informatika;1;ChatGPT;4;6
Syifa Nabila;Teknologi Informasi;5;ChatGPT;1;3
Hanifa Azzahra;Teknologi Informasi;7;Gemini;3;10+
Safira Azzahra Putri;Teknologi Informasi;3;ChatGPT;2;7
Safira Azzahra Putri;Teknologi Informasi;7;ChatGPT;4;4
Farrel Alvaro Nugroho;Keperawatan;1;ChatGPT;4;10+
Muhammad Reza Ananda;Teknologi Informasi;1;Multiple;1;3
Damar Alif Prakoso;Teknologi Informasi;3;Copilot;5;7
Nour Azzahra Salma Putri;Keperawatan;7;Copilot;4;4
Zahra Alya Safitri;Teknik Informatika;3;ChatGPT;4;8
Zidan Harits;Farmasi;3;ChatGPT;4;9
Ammar Zaky Firmansyah;Farmasi;1;Gemini;4;10+
Damar Alif Prakoso;Teknologi Informasi;3;Gemini;3;10+
Aulia Rahma;Teknik Informatika;1;ChatGPT;4;10+
Salsabila Nurfadila;Teknik Informatika;3;Multiple;5;9
Khansa Humaira Zahira;Teknik Informatika;5;ChatGPT;3;9
Farah Amalia;Teknologi Informasi;3;ChatGPT;4;4
Ammar Zaky Firmansyah;Farmasi;7;Copilot;5;9
Nour Azzahra Salma Putri;Keperawatan;3;ChatGPT;5;6
Muhammad Rizky Pratama;Teknologi Informasi;1;ChatGPT;4;3
Nabila Khairunnisa;Teknologi Informasi;1;Gemini;3;10+
Muhammad Ilham Ramadhan;Mesin Otomotif;3;ChatGPT;2;6
Salsabila Nurfadila;Teknik Informatika;5;ChatGPT;1;8
Ilham Nurhadi;Teknologi Informasi;1;ChatGPT;4;9
Hanifa Azzahra;Teknologi Informasi;5;ChatGPT;5;5
Safira Azzahra Putri;Teknologi Informasi;1;ChatGPT;5;9
Iqbal Ramadhan;Farmasi;7;Gemini;3;1
Bagas Arya Nugraha;Teknologi Informasi;1;Multiple;5;6
Damar Alif Prakoso;Teknologi Informasi;1;ChatGPT;5;3
Muhammad Rizky Pratama;Teknologi Informasi;3;ChatGPT;1;3
Citra Maharani;Keperawatan;3;ChatGPT;5;4
Iqbal Ramadhan;Farmasi;5;Gemini;4;3
Arfan Maulana;Teknik Informatika;1;Copilot;5;9
Hanifa Azzahra;Teknologi Informasi;3;ChatGPT;3;1
Bagas Arya Nugraha;Teknologi Informasi;1;Gemini;4;4
Farah Amalia;Teknologi Informasi;1;Gemini;3;4
Hanifa Azzahra;Teknologi Informasi;3;ChatGPT;3;4
Ilham Nurhadi;Teknologi Informasi;1;ChatGPT;5;10+
Rafi Aditya;Teknik Informatika;7;Multiple;3;6
Bagas Arya Nugraha;Teknologi Informasi;1;ChatGPT;3;10+
Rizky Kurniawan Putra;Teknik Informatika;3;Multiple;3;6
Yusuf Al Hakim;Teknik Informatika;5;Gemini;5;9
Safira Azzahra Putri;Teknologi Informasi;3;Multiple;4;9
Muhammad Reza Ananda;Teknologi Informasi;5;ChatGPT;4;3
Rafi Aditya;Teknik Informatika;1;ChatGPT;3;10+
Rizky Kurniawan Putra;Teknik Informatika;7;ChatGPT;4;8
Muhammad Rizky Pratama;Teknologi Informasi;1;ChatGPT;3;5
Ammar Zaky Firmansyah;Farmasi;1;Copilot;5;7
Zidan Harits;Farmasi;7;ChatGPT;3;1
Nabila Khairunnisa;Teknologi Informasi;1;Gemini;3;1
Damar Alif Prakoso;Teknologi Informasi;3;ChatGPT;3;5
Yusuf Al Hakim;Teknik Informatika;3;ChatGPT;3;5
Muhammad Fadhil Akbar Santoso;Mesin Otomotif;3;ChatGPT;1;9
Rizky Kurniawan Putra;Teknik Informatika;1;Copilot;5;4
Bagas Arya Nugraha;Teknologi Informasi;3;ChatGPT;5;6
Hanifa Azzahra;Teknologi Informasi;1;ChatGPT;3;3
Muhammad Ilham Ramadhan;Mesin Otomotif;1;ChatGPT;3;5
Safira Azzahra Putri;Teknologi Informasi;5;ChatGPT;4;9
Yusuf Al Hakim;Teknik Informatika;3;Gemini;1;7
Zahra Alya Safitri;Teknik Informatika;5;ChatGPT;4;3
Citra Maharani;Keperawatan;3;ChatGPT;3;3
Farah Amalia;Teknologi Informasi;7;ChatGPT;3;5
Citra Maharani;Keperawatan;3;Copilot;3;8
Ahmad Fauzan Maulana;Farmasi;5;Gemini;4;8
Zidan Harits;Farmasi;5;Copilot;5;7
Salsabila Nurfadila;Teknik Informatika;1;Gemini;5;3
Aulia Rahma;Teknik Informatika;3;ChatGPT;4;4
Ahmad Fauzan Maulana;Farmasi;1;ChatGPT;4;8
Arfan Maulana;Teknik Informatika;3;Gemini;4;3
Muhammad Reza Ananda;Teknologi Informasi;7;ChatGPT;5;9
Aulia Rahma;Teknik Informatika;1;ChatGPT;1;6
Safira Azzahra Putri;Teknologi Informasi;3;Multiple;5;4
Muhammad Rizky Pratama;Teknologi Informasi;3;ChatGPT;2;4
Safira Azzahra Putri;Teknologi Informasi;1;ChatGPT;4;4
Nour Azzahra Salma Putri;Keperawatan;5;Multiple;4;9
Yusuf Al Hakim;Teknik Informatika;3;Copilot;3;5
Nayla Syakira;Teknologi Informasi;1;ChatGPT;2;10+
Muhammad Ilham Ramadhan;Mesin Otomotif;1;ChatGPT;2;9
Aulia Rahma;Teknik Informatika;5;ChatGPT;2;6
Rafi Aditya;Teknik Informatika;1;Multiple;4;3
Althaf Rayyan Putra;Teknologi Informasi;1;ChatGPT;5;10+
Muhammad Rizky Pratama;Teknologi Informasi;5;Multiple;5;10+
Farah Amalia;Teknologi Informasi;5;Copilot;3;9
Khansa Humaira Zahira;Teknik Informatika;5;ChatGPT;1;8
Muhammad Rizky Pratama;Teknologi Informasi;1;ChatGPT;5;8
Zidan Harits;Farmasi;3;ChatGPT;3;10+
Iqbal Ramadhan;Farmasi;3;ChatGPT;5;6
Alya Qonita Maharani;Teknologi Informasi;1;ChatGPT;4;10+
Farah Amalia;Teknologi Informasi;1;ChatGPT;4;10+
Nayla Syakira;Teknologi Informasi;7;ChatGPT;5;10+
Rizky Kurniawan Putra;Teknik Informatika;1;Gemini;4;10+
Zahra Alya Safitri;Teknik Informatika;3;ChatGPT;3;8
Rafi Aditya;Teknik Informatika;1;Multiple;5;2
Farrel Alvaro Nugroho;Keperawatan;5;ChatGPT;4;8
Hanifa Azzahra;Teknologi Informasi;7;Copilot;5;9
Althaf Rayyan Putra;Teknologi Informasi;1;ChatGPT;3;8
Damar Alif Prakoso;Teknologi Informasi;3;ChatGPT;3;3
Aulia Rahma;Teknik Informatika;7;ChatGPT;4;6
Muhammad Naufal Haidar;Farmasi;1;ChatGPT;3;5
Nayla Syakira;Teknologi Informasi;5;Multiple;3;7
Hanifa Azzahra;Teknologi Informasi;1;Multiple;4;9
Arfan Maulana;Teknik Informatika;1;ChatGPT;2;5
Iqbal Ramadhan;Farmasi;7;Copilot;4;9
Ammar Zaky Firmansyah;Farmasi;1;ChatGPT;3;9
Bagas Arya Nugraha;Teknologi Informasi;1;Gemini;2;6
Fikri Alfarizi;Teknologi Informasi;3;ChatGPT;3;4
Zidan Harits;Farmasi;3;ChatGPT;5;4
Ayesha Kinanti;Teknologi Informasi;5;Copilot;1;7
Fikri Alfarizi;Teknologi Informasi;3;ChatGPT;4;5
Ammar Zaky Firmansyah;Farmasi;3;ChatGPT;4;3
Farrel Alvaro Nugroho;Keperawatan;7;ChatGPT;3;5
Raka Bimantara;Farmasi;3;ChatGPT;4;10+
Arfan Maulana;Teknik Informatika;3;Copilot;4;8
Althaf Rayyan Putra;Teknologi Informasi;5;ChatGPT;4;6
Muhammad Naufal Haidar;Farmasi;1;Copilot;4;3
Zahra Alya Safitri;Teknik Informatika;5;ChatGPT;2;8
Anindya Safira;Teknik Informatika;1;Gemini;4;6
Rafi Aditya;Teknik Informatika;5;Copilot;5;1
Ahmad Fauzan Maulana;Farmasi;3;ChatGPT;1;7
Althaf Rayyan Putra;Teknologi Informasi;5;Copilot;3;8
Hanifa Azzahra;Teknologi Informasi;3;Copilot;3;5
Nabila Khairunnisa;Teknologi Informasi;3;Copilot;4;10+
Farah Amalia;Teknologi Informasi;3;ChatGPT;5;7
Aulia Rahma;Teknik Informatika;1;Gemini;3;7
Ayesha Kinanti;Teknologi Informasi;7;ChatGPT;4;10+
Farah Amalia;Teknologi Informasi;5;ChatGPT;5;1
Muhammad Reza Ananda;Teknologi Informasi;5;Multiple;3;10+
Althaf Rayyan Putra;Teknologi Informasi;3;ChatGPT;5;6
Fikri Alfarizi;Teknologi Informasi;3;Multiple;4;7
Aisyah Putri Ramadhani;Teknik Informatika;3;Copilot;5;10+
Safira Azzahra Putri;Teknologi Informasi;3;Multiple;4;10+
Alya Qonita Maharani;Teknologi Informasi;3;ChatGPT;5;4
Arfan Maulana;Teknik Informatika;1;Multiple;4;10+
Aulia Rahma;Teknik Informatika;5;Copilot;2;3
Nayla Syakira;Teknologi Informasi;1;Gemini;3;7
Aisyah Putri Ramadhani;Teknik Informatika;3;ChatGPT;4;10+
Raka Bimantara;Farmasi;3;ChatGPT;4;10+
